Temp_F,Temp_C,Phantom,SWS01,SWS02,SWS03,SWS04,SWS05,SWS06,SWS07,SWS08,SWS09,SWS10
65,18.3,E2348-1,1.88,1.9,1.83,1.8,1.69,1.89,1.84,1.85,2.01,1.81
65,18.3,E2348-2,2.23,2.28,2.47,2.62,2.66,2.49,2.52,2.45,2.34,2.56
65,18.3,E2348-3,3.39,2.74,2.65,2.69,2.86,2.62,2.92,3.07,2.4,3.04
65,18.3,E1786-9,0.82,0.83,0.83,0.84,0.8,0.82,0.83,0.84,0.81,0.81
70,21.1,E2348-1,1.76,1.85,1.83,1.73,1.82,1.88,1.86,1.74,1.74,1.75
70,21.1,E2348-2,2.85,2.49,2.34,2.44,2.17,2.78,2.44,2.53,2.46,2.54
70,21.1,E2348-3,2.72,2.86,2.61,3,2.75,3.32,2.95,2.84,3.15,3.29
70,21.1,E1786-9,0.82,0.82,0.84,0.84,0.85,0.84,0.83,0.83,0.8,0.82
74.9,23.8,E2348-1,1.83,1.84,1.88,1.7,1.59,1.76,1.73,1.92,1.73,1.76
74.9,23.8,E2348-2,2.15,2.12,2.14,2.33,2.65,2.65,2.34,2.23,2.25,2.43
74.9,23.8,E2348-3,2.88,2.36,2.81,2.61,2.87,2.91,2.61,2.84,2.76,2.78
74.9,23.8,E1786-9,0.83,0.82,0.85,0.82,0.81,0.81,0.84,0.82,0.85,0.82
79.8,26.6,E2348-1,1.78,1.8,1.85,1.8,1.77,1.71,1.76,1.64,1.8,1.7
79.8,26.6,E2348-2,2.26,2.11,2.23,2.3,2.22,2.37,2.27,2.31,2.34,2.17
79.8,26.6,E2348-3,2.64,2.76,2.61,2.67,3.16,2.64,2.65,2.77,3.34,2.79
79.8,26.6,E1786-9,0.85,0.85,0.86,0.86,0.81,0.81,0.83,0.87,0.84,0.83
84.8,29.3,E2348-1,1.71,1.7,1.61,1.86,1.75,1.78,1.73,1.77,1.73,1.73
84.8,29.3,E2348-2,2.27,2.21,2.32,2.32,2.32,2.34,2.38,2.44,2.38,2.36
84.8,29.3,E2348-3,2.72,2.56,2.29,2.79,3.08,2.43,2.66,2.63,2.76,2.56
84.8,29.3,E1786-9,0.84,0.83,0.83,0.83,0.81,0.8,0.83,0.83,0.8,0.81
