Date,Phantom,Datatype,SWSmean,SWSstd
2014-08-20,E2297-A1,Disp,1.5639,0.2296
2014-08-20,E2297-B3,Disp,2.0355,0.3171
2014-08-20,E2297-C1,Disp,2.6198,0.4695
2014-08-20,E2297-A1,Vel,2.0815,0.0465
2014-08-20,E2297-B3,Vel,2.8434,0.0784
2014-08-20,E2297-C1,Vel,3.7329,0.1373
2014-12-14,E2297-A1,Disp,1.6931,0.2962
2014-12-14,E2297-B3,Disp,2.3083,0.3788
2014-12-14,E2297-C1,Disp,2.4679,0.545
2014-12-14,E2297-A1,Vel,2.107,0.0896
2014-12-14,E2297-B3,Vel,2.8607,0.07
2014-12-14,E2297-C1,Vel,3.7781,0.1338
2015-06-30,E2297-A1,Disp,1.6274,0.1241
2015-06-30,E2297-B3,Disp,2.099,0.1619
2015-06-30,E2297-C1,Disp,2.4036,0.3164
2015-06-30,E2297-A1,Vel,2.1458,0.0626
2015-06-30,E2297-B3,Vel,2.9483,0.0397
2015-06-30,E2297-C1,Vel,3.9038,0.1209
2015-09-15,E2297-A1,Disp,1.4826,0.2604
2015-09-15,E2297-B3,Disp,2.0618,0.1223
2015-09-15,E2297-C1,Disp,2.4231,0.3318
2015-09-15,E2297-A1,Vel,2.1451,0.0726
2015-09-15,E2297-B3,Vel,2.9292,0.0857
2015-09-15,E2297-C1,Vel,3.8586,0.1146
